Stkcd	Accper	Typrep	Indcd	F040202B	F040302B	F040502B	F040602B	F040802B	F040902B	F041002B	F041202B	F041402B	F041502B	F041702B	F041802B	Indnme
股票代码	截止日期	报表类型编码	行业代码	应收账款周转率B	应收账款周转天数B	存货周转率B	存货周转天数B	应付账款周转率B	营运资金（资本）周转率B	现金及现金等价物周转率B	流动资产周转率B	固定资产周转率B	非流动资产周转率B	总资产周转率B	股东权益周转率B	行业名称
000021	2019-12-31	B	C39	2.932737	124.45712	24.668261	14.796341	11.167768		6.473657	0.614636	6.675622	0.318269	0.209688	0.357404	计算机、通信和其他电子设备制造业
000021	2020-12-31	A	C39	6.28837	58.202682	5.731984	63.852237	6.170345	8.421454	10.49635	1.147293	4.931068	2.138696	0.746719	1.98083	计算机、通信和其他电子设备制造业
000021	2020-12-31	B	C39	2.156703	169.703478	66.867884	5.47348	2.977948		15.380064	0.277687	4.421684	0.196992	0.11524	0.241312	计算机、通信和其他电子设备制造业
000030	2016-12-31	A	C36	4.648721	78.731333	7.796672	46.943106	3.823814	3.183417	5.56364	1.442304	3.344363	1.296253	0.682692	1.057221	汽车制造业
000030	2016-12-31	B	C36	4.784996	76.489092	8.027242	45.594739	3.989916	2.299874	4.854657	1.217777	3.993527	0.66063	0.428289	0.552735	汽车制造业
000030	2017-12-31	A	C36	4.92908	74.05033	9.123874	40.004936	3.770847	3.543054	5.39192	1.477534	4.10425	1.483073	0.740149	1.18903	汽车制造业
000030	2017-12-31	B	C36	5.293657	68.950444	9.404875	38.80966	4.022206	2.427171	3.992066	1.222946	5.353431	0.84671	0.500315	0.669778	汽车制造业
000030	2018-12-31	A	C36	4.735643	77.075067	9.907361	36.841294	3.734422	3.616047	5.106876	1.392297	3.925325	1.458698	0.712362	1.16746	汽车制造业
000030	2018-12-31	B	C36	4.688229	77.854559	9.208013	39.639388	3.889202	1.894888	3.167697	0.978915	4.954991	0.76269	0.42869	0.576852	汽车制造业
000030	2019-12-31	A	C36	5.63648	64.756728	10.547941	34.60391	4.06098	4.553263	6.79169	1.582258	4.401163	1.693972	0.818105	1.380344	汽车制造业
000030	2019-12-31	B	C36	5.730715	63.691878	8.465049	43.118475	3.996126	1.951065	3.464982	0.991044	5.030653	0.756336	0.428963	0.575859	汽车制造业
000030	2020-12-31	A	C36	6.676066	54.822705	9.77457	37.444102	3.864573	4.47093	7.640431	1.517664	4.621405	1.745111	0.81173	1.413171	汽车制造业
000030	2020-12-31	B	C36	7.8891	46.393125	8.008171	45.70332	3.68634	2.249416	4.704552	1.024519	5.441382	0.78258	0.443677	0.614834	汽车制造业
000045	2016-12-31	A	C39	5.946574	61.548044	3.810321	96.054899	5.598814	0.631668	1.427471	0.494344	1.583136	1.069181	0.338046	0.426809	计算机、通信和其他电子设备制造业
000045	2016-12-31	B	C39	97.441911	3.756084			30.977849	0.14306	0.179492	0.113658	2.368267	0.030088	0.02379	0.024861	计算机、通信和其他电子设备制造业
000045	2017-12-31	A	C39	7.150259	51.047102	4.649854	78.497088	9.536052	0.606074	1.411091	0.503894	2.138753	1.200236	0.354898	0.423816	计算机、通信和其他电子设备制造业
000045	2017-12-31	B	C39	138.936667	2.627096			34.500895	0.171873	0.153267	0.125714	2.358461	0.029426	0.023845	0.025128	计算机、通信和其他电子设备制造业
000045	2018-12-31	A	C39	3.529632	103.410214	3.193463	114.295985	8.237061	0.585893	1.108897	0.434029	1.54787	0.862045	0.288682	0.364442	计算机、通信和其他电子设备制造业
000045	2018-12-31	B	C39	137.829055	2.648208			35.166372	0.161042	0.273794	0.118477	2.498937	0.030882	0.024497	0.02592	计算机、通信和其他电子设备制造业
000045	2019-12-31	A	C39	4.829348	75.579561	4.747	76.890668	9.363328	1.162222	3.078238	0.826701	2.282459	1.09848	0.471703	0.590144	计算机、通信和其他电子设备制造业
000045	2019-12-31	B	C39	232.112238	1.572515			147.311473	0.251676	2.179722	0.190698	4.747264	0.053088	0.041527	0.044378	计算机、通信和其他电子设备制造业
000045	2020-12-31	A	C39	4.621703	79.191588	4.158538	88.0117	6.357412	1.242678	7.711251	0.950615	2.490786	0.832941	0.443948	0.543973	计算机、通信和其他电子设备制造业
000045	2020-12-31	B	C39	61.780903	5.924161	2421.951508	0.151118	25.905139	0.116482	0.866144	0.091962	2.587633	0.024736	0.019493	0.020834	计算机、通信和其他电子设备制造业
