Stkcd	Accper	Typrep	Indcd	F010101A	F010201A	F010501A	F011201A	F011601A	F011801A	F011901A	Indnme
股票代码	截止日期	报表类型编码	行业代码	流动比率	速动比率	营运资金与借款比	资产负债率	权益乘数	权益对负债比率	长期资本负债率	行业名称
000066	2020-12-31	B	C39	0.979672	0.721737	-0.031655	0.688225	3.207439	0.453014	0.465718	计算机、通信和其他电子设备制造业
000068	2016-12-31	A	C39	1.506164	1.487078	0.920453	0.390353	1.640295	1.561781	0.004524	计算机、通信和其他电子设备制造业
000068	2016-12-31	B	C39	0.526551	0.526503	-0.555319	0.363876	1.572021	1.748188	0	计算机、通信和其他电子设备制造业
000068	2017-12-31	A	C39	0.691	0.682929	-0.570588	0.610299	2.566068	0.638542	0.078832	计算机、通信和其他电子设备制造业
000068	2017-12-31	B	C39	0.609638	0.609621	-0.44896	0.600005	2.500029	0.666654	0	计算机、通信和其他电子设备制造业
000068	2018-12-31	A	C39	0.671346	0.658903	-0.387764	0.728095	3.677755	0.373447	0.461666	计算机、通信和其他电子设备制造业
000068	2018-12-31	B	C39	0.438334	0.437431	-0.627081	0.634848	2.738589	0.575179	0	计算机、通信和其他电子设备制造业
000068	2019-12-31	A	C39	0.745103	0.725968	-0.213553	0.747129	3.954592	0.338456	0.571538	计算机、通信和其他电子设备制造业
000068	2019-12-31	B	C39	0.438327	0.434599	-0.621485	0.639395	2.773119	0.563978	0	计算机、通信和其他电子设备制造业
000070	2016-12-31	A	C38	1.263836	0.839962	1.211891	0.594942	2.468785	0.680835	0.081809	电气机械及器材制造业
000070	2016-12-31	B	C38	0.822927	0.622778	-0.526746	0.51355	2.055709	0.947231	0.096581	电气机械及器材制造业
000070	2017-12-31	A	C38	1.286207	0.906461	1.344231	0.610373	2.566556	0.638343	0.074045	电气机械及器材制造业
000070	2017-12-31	B	C38	0.77944	0.663949	-1.152954	0.512975	2.053285	0.949411	0.065538	电气机械及器材制造业
000070	2018-12-31	A	C38	1.320689	0.918755	1.097686	0.634459	2.735673	0.576146	0.157878	电气机械及器材制造业
000070	2018-12-31	B	C38	0.915126	0.819438	-0.22246	0.575242	2.354279	0.7384	0.196351	电气机械及器材制造业
000070	2019-12-31	A	C38	1.397141	0.998752	1.053179	0.551146	2.227898	0.8144	0.080006	电气机械及器材制造业
000070	2019-12-31	B	C38	0.909723	0.798936	-0.267503	0.512999	2.053383	0.949323	0.067363	电气机械及器材制造业
000070	2020-12-31	A	C38	1.394019	1.02058	0.699	0.66929	3.023795	0.494121	0.248231	电气机械及器材制造业
000070	2020-12-31	B	C38	1.224839	0.989047	0.392749	0.67027	3.032783	0.491936	0.28612	电气机械及器材制造业
000100	2016-12-31	A	C39	1.128233	0.937649	0.27988	0.689087	3.216331	0.451196	0.427046	计算机、通信和其他电子设备制造业
000100	2016-12-31	B	C39	1.252253	1.252191	0.35334	0.598564	2.491058	0.670665	0.4082	计算机、通信和其他电子设备制造业
000100	2017-12-31	A	C39	1.108628	0.929435	0.216359	0.662227	2.960571	0.510056	0.385062	计算机、通信和其他电子设备制造业
000100	2017-12-31	B	C39	1.341294	1.34124	0.528401	0.515535	2.064132	0.939733	0.344743	计算机、通信和其他电子设备制造业
000100	2018-12-31	A	C39	1.018677	0.766405	0.029386	0.684216	3.166727	0.461526	0.465703	计算机、通信和其他电子设备制造业
000100	2018-12-31	B	C39	1.51668	1.516626	0.91036	0.504882	2.019719	0.980662	0.358167	计算机、通信和其他电子设备制造业
000100	2019-12-31	A	C39	1.118393	0.986524	0.100782	0.612465	2.580413	0.632746	0.475452	计算机、通信和其他电子设备制造业
000100	2019-12-31	B	C39	1.425536	1.424676	0.856215	0.543749	2.191778	0.839082	0.382185	计算机、通信和其他电子设备制造业
000100	2020-12-31	A	C39	0.924974	0.800567	-0.06206	0.650817	2.863832	0.536529	0.518133	计算机、通信和其他电子设备制造业
000100	2020-12-31	B	C39	0.800214	0.80005	-0.463824	0.653185	2.883379	0.53096	0.440318	计算机、通信和其他电子设备制造业
000153	2016-12-31	A	C27	0.943412	0.724094	-0.123551	0.537108	2.160332	0.861822	0.069828	医药制造业
000153	2016-12-31	B	C27	0.768673	0.720759	-0.473794	0.563632	2.291643	0.774208	0.076269	医药制造业
000153	2017-12-31	A	C27	1.004244	0.734193	0.013574	0.559038	2.26777	0.788786	0.04509	医药制造业
000153	2017-12-31	B	C27	0.738068	0.682092	-0.786656	0.607304	2.5465	0.646622	0.048265	医药制造业
000153	2018-12-31	A	C27	0.968408	0.687311	-0.141555	0.570549	2.328556	0.752697	0.055734	医药制造业
000153	2018-12-31	B	C27	0.710449	0.654967	-1.175289	0.612626	2.581482	0.632318	0.064887	医药制造业
000153	2019-12-31	A	C27	0.85477	0.615518	-0.495907	0.627174	2.682214	0.594455	0.129706	医药制造业
000153	2019-12-31	B	C27	0.672937	0.631703	-0.990483	0.67802	3.105787	0.474882	0.16822	医药制造业
000153	2020-12-31	A	C27	0.841714	0.586457	-0.667861	0.601789	2.511233	0.661711	0.078326	医药制造业
000153	2020-12-31	B	C27	0.663383	0.613414	-1.445308	0.643533	2.805311	0.553921	0.10187	医药制造业
000155	2016-12-31	A	C26	33.160494	33.160494		0.030155	1.031093	32.161745	0	化学原料及化学制品制造业
000155	2016-12-31	B	C26	33.160494	33.160494		0.030155	1.031093	32.161745	0	化学原料及化学制品制造业
000155	2017-12-31	A	C26	2.411422	2.388278	1.112982	0.458189	1.845662	1.182506	0.313015	化学原料及化学制品制造业
000155	2017-12-31	B	C26	4.7496	4.688293		0.146088	1.171081	5.84518	0	化学原料及化学制品制造业
000155	2018-12-31	A	C26	2.841595	2.779819	1.069809	0.475944	1.908192	1.101089	0.365109	化学原料及化学制品制造业
000155	2018-12-31	B	C26	4.502186	4.364085		0.146494	1.171638	5.826214	0	化学原料及化学制品制造业
000155	2019-12-31	A	C26	3.071545	3.067436	0.908934	0.417335	1.716253	1.396154	0.332547	化学原料及化学制品制造业
000155	2019-12-31	B	C26	9.906677	9.906677		0.059726	1.063519	15.743201	0	化学原料及化学制品制造业
000157	2016-12-31	A	C35	2.562148	2.087411	2.799298	0.576009	2.358543	0.736083	0.392772	专用设备制造业
000157	2016-12-31	B	C35	2.304079	1.906734	2.373762	0.5263	2.111041	0.900056	0.314637	专用设备制造业
000157	2017-12-31	A	C35	2.535405	2.172277	3.143395	0.540256	2.175123	0.850975	0.348535	专用设备制造业
000157	2017-12-31	B	C35	2.262158	2.095398	2.660168	0.51173	2.048049	0.954154	0.278603	专用设备制造业
000157	2018-12-31	A	C35	1.77572	1.534715	2.217212	0.585172	2.410636	0.7089	0.279775	专用设备制造业
000157	2018-12-31	B	C35	1.55329	1.465284	1.914173	0.601272	2.507978	0.66314	0.209134	专用设备制造业
000157	2019-12-31	A	C35	1.826947	1.486565	3.627003	0.570609	2.328881	0.752513	0.312282	专用设备制造业
000157	2019-12-31	B	C35	1.502863	1.369175	2.07558	0.622443	2.648604	0.606574	0.248218	专用设备制造业
000157	2020-12-31	A	C35	1.730533	1.418435	5.827382	0.588158	2.428115	0.700224	0.309259	专用设备制造业
000157	2020-12-31	B	C35	1.403377	1.309054	3.577955	0.672766	3.055922	0.4864	0.264507	专用设备制造业
000157	2021-12-31	A	C35	1.796856	1.525044	4.818132	0.522225	2.093038	0.914882	0.194191	专用设备制造业
000157	2021-12-31	B	C35	1.279147	1.241839	3.139239	0.723863	3.621393	0.381477	0.185542	专用设备制造业
000301	2018-12-31	A	C28	1.03994	0.630255	0.076109	0.407513	1.687801	1.453909	0.096817	化学纤维制造业
