股票代码	截止日期	报表类型编码	行业代码	资产报酬率B	总资产净利润率（ROA）B	净资产收益率B	投入资本回报率	投资收益率	应收账款周转率B	应收账款周转天数B	存货周转率B	存货周转天数B	应付账款周转率B	流动资产周转率B	固定资产周转率B	非流动资产周转率B
600062	2012-12-31	A	C27	0.121533	0.100208	0.139347	0.114933	1.963528	7.561179	48.40515	6.298635	58.107828	8.531669	1.842065	4.169661	2.797873
600062	2013-12-31	A	C27	0.166174	0.134493	0.173942	0.156455	10.174118	9.100823	40.106263	6.64561	54.923476	8.890582	1.758603	3.605609	2.62064
600062	2014-12-31	A	C27	0.097715	0.083001	0.098663	0.090684	0.225179	7.060662	51.694869	3.616756	100.919166	4.811533	1.104449	2.303538	1.600957
600062	2015-12-31	A	C27	0.103653	0.087658	0.10542	0.096259	1.093732	6.036241	60.468096	3.183686	114.646985	5.22469	1.2632	2.36348	1.461236
600062	2016-12-31	A	C27	0.112409	0.092379	0.109742	0.101294	0.682186	6.137176	59.636549	3.279142	111.614563	6.497706	1.362606	2.441142	1.384165
600062	2017-12-31	A	C27	0.11814	0.099788	0.118506	0.106027	7.607604	6.943044	52.570602	3.147647	115.959636	6.323765	1.413571	2.793371	1.49459
600062	2018-12-31	A	C27	0.119584	0.100228	0.125588	0.119277	0.02557	8.136251	44.860956	3.095125	117.927386	6.005774	1.65905	3.489604	1.673695
600062	2019-12-31	A	C27	0.11601	0.098824	0.128604	0.117305	0.01107	8.31825	43.879422	3.236994	112.758936	5.629576	1.679086	3.939107	1.802457
600062	2020-12-31	A	C27	0.098861	0.085551	0.112277	0.09942	0.002322	7.160595	51.113071	2.582974	141.697129	4.106211	1.324707	3.565972	1.566914
600079	2010-12-31	A	C27	0.108641	0.080699	0.137956	0.104357	0.027922	6.393544	57.088838	2.018562	180.821793	7.720644	1.018723	5.443931	1.374675
600079	2011-12-31	A	C27	0.112193	0.082569	0.157064	0.112151	0.024286	5.994376	60.890408	2.732724	133.566361	7.971751	1.252104	6.476861	1.569732
600079	2012-12-31	A	C27	0.118512	0.080296	0.165967	0.113831	0.127986	5.033857	72.707667	3.792587	96.504049	7.607365	1.325766	5.636496	1.769282
600079	2013-12-31	A	C27	0.106631	0.068447	0.137744	0.100593	0.030292	3.717879	98.174255	4.217705	86.539955	5.992404	1.223045	4.254357	1.553028
600079	2014-12-31	A	C27	0.091591	0.058126	0.11764	0.079145	0.047456	3.206592	113.828014	3.828571	95.335832	4.968288	1.210222	3.729029	1.379873
600079	2015-12-31	A	C27	0.086657	0.056283	0.114452	0.077227	0.096723	3.204262	113.910785	4.304398	84.796991	5.189941	1.283613	3.304431	1.3722
600079	2016-12-31	A	C27	0.07606	0.04846	0.102072	0.06709	0.135641	2.963042	123.521705	3.977562	92.016165	4.670325	1.178253	2.857946	1.042856
600079	2017-12-31	A	C27	0.113663	0.074983	0.162177	0.103551	0.541249	3.064741	119.096524	3.952353	92.350051	4.956299	1.163143	3.478941	0.875728
600079	2018-12-31	A	C27	-0.022614	-0.055377	-0.127024	-0.045833	0.08513	3.026393	120.605619	3.817536	95.61141	5.663274	1.164455	4.318923	0.959886
600079	2019-12-31	A	C27	0.075316	0.038374	0.095615	0.078286	0.089048	3.193418	114.297596	3.977012	91.777445	6.666842	1.270989	4.616945	1.207377
600079	2020-12-31	A	C27	0.089465	0.051742	0.128019	0.094272	0.07613	3.191747	114.670743	3.889256	94.105402	6.391634	1.189926	3.942447	1.257165
600080	2010-12-31	A	C27	0.065551	0.023828	0.047158	0.079288	0.00174	25.596421	14.259806	5.807366	62.851213	6.395689	1.958572	0.500707	0.265218
600080	2011-12-31	A	C27	0.166229	0.132636	0.201514	0.214207	0.259123	16.248243	22.463967	5.820446	62.709971	4.998891	1.798059	0.69862	0.364384
600080	2012-12-31	A	C27	0.043377	0.039918	0.04655	0.043995	0.003159	8.621695	42.451049	5.342147	68.51178	5.689343	1.850821	1.038717	0.542738
600080	2013-12-31	A	C27	0.036051	0.039229	0.046203	0.041741	0.01324	5.774636	63.207447	3.612074	101.049978	4.917726	1.446335	1.11408	0.568388
600080	2014-12-31	A	C27	0.021019	0.024315	0.029534	0.023817	0.000631	5.286987	69.037431	6.738334	54.167692	5.792178	1.742866	1.765032	0.872518
600080	2015-12-31	A	C27	0.021109	0.020403	0.024932	0.019299	0.022163	4.170321	87.523239	7.740497	47.154595	5.3761	1.576349	1.892192	0.913549
600080	2016-12-31	A	C27	0.03202	0.020583	0.026237	0.02258	0.002194	4.179818	87.563621	4.959375	73.799622	4.252861	1.553196	1.731019	0.723189
600080	2017-12-31	A	C27	0.049811	0.03759	0.049094	0.048297	0.020069	5.215186	69.987916	6.068629	60.14538	6.201991	2.077778	1.972081	0.709561
