Stkcd	Accper	Typrep	Indcd	F050102B	F050202B	F050302B	F050402B	F050502B	F051201B	F053201B	F053301B	F051301B	F051401B	F051501B	F051701B	F051801B	F051901B	F053202B	F053401B	Indnme
股票代码	截止日期	报表类型编码	行业代码	资产报酬率B	总资产净利润率（ROA）B	流动资产净利润率B	固定资产净利润率B	净资产收益率B	投入资本回报率	长期资本收益率	营业毛利率	营业成本率	营业利润率	营业净利率	销售费用率	管理费用率	财务费用率	投资收益率	研发费用率	行业名称
600764	2020-12-31	A	C39	0.098266	0.087239	0.101888	0.996184	0.136153	0.098318	0.146384	0.339153	0.660847	0.178237	0.160177	0.0229	0.059645	0.001838		0.069874	计算机、通信和其他电子设备制造业
600765	2016-12-31	A	C34	0.036405	0.016616	0.027026	0.073564	0.057165	0.040778	0.076984	0.257508	0.742492	0.032783	0.041988	0.021951	0.130784	0.038263	-0.018518		通用设备制造业
600765	2017-12-31	A	C34	0.028701	0.007667	0.011779	0.03784	0.025391	0.034024	0.066849	0.256704	0.743296	0.034611	0.017967	0.021816	0.125037	0.037874	0.053349		通用设备制造业
600765	2018-12-31	A	C34	0.037652	0.018559	0.027148	0.09467	0.053301	0.042829	0.078128	0.259886	0.740114	0.051696	0.042035	0.022698	0.10113	0.031224	0.695957	0.036898	通用设备制造业
600765	2019-12-31	A	C34	0.041265	0.024225	0.034982	0.122838	0.05754	0.039936	0.073248	0.261601	0.738399	0.066922	0.053531	0.019414	0.086475	0.023018	0.040918	0.034	通用设备制造业
600765	2020-12-31	A	C37	0.042679	0.02837	0.039422	0.162751	0.062245	0.044504	0.071695	0.266431	0.733569	0.077167	0.063632	0.010232	0.088761	0.019049	0.137127	0.04403	铁路、船舶、航空航天和其它运输设备制造业
600765	2021-12-31	A	C37	0.069302	0.05469	0.071864	0.385	0.113679	0.068046	0.111444	0.283273	0.716727	0.129718	0.109976	0.008265	0.074777	0.009253	0.206403	0.039415	铁路、船舶、航空航天和其它运输设备制造业
600771	2016-12-31	A	C27	0.11844	0.095913	0.115475	2.908094	0.124803	0.08643	0.152787	0.779423	0.220577	0.191124	0.164256	0.459881	0.100544	0.002832	0.08028		医药制造业
600771	2017-12-31	A	C27	0.13242	0.107419	0.13737	4.577077	0.134961	0.119581	0.164424	0.823894	0.176106	0.239486	0.214183	0.441414	0.124697	0.003547	0.223762		医药制造业
600771	2018-12-31	A	C27	0.166721	0.140821	0.195951	1.087752	0.181745	0.158054	0.211798	0.811158	0.188842	0.283045	0.243428	0.388331	0.059384	0.008838	0.035917	0.036103	医药制造业
