Stkcd	Accper	Indcd	F100101B	F100201B	F100301B	F100401A	F100901A	F100902A	F100903A	F100904A	Indnme
股票代码	截止日期	行业代码	市盈率1	市销率1	市现率1	市净率	托宾Q值A	托宾Q值B	托宾Q值C	托宾Q值D	行业名称
000521	2019-12-31	C38	82.344048	0.216451	2.788295	0.700898	0.876621	0.938277	0.875534	0.937113	电气机械及器材制造业
000521	2020-12-31	C38		0.411375	4.510289	1.275724	1.042638	1.107043	1.04349	1.107948	电气机械及器材制造业
000521	2021-12-31	C38	44.018342	0.212593	23.822997	0.767534	0.905926	0.966593	0.905308	0.965934	电气机械及器材制造业
000523	2016-12-31	C26	152.355267	0.603168		3.327949	1.849396	1.875684	1.996475	2.024854	化学原料及化学制品制造业
000523	2017-12-31	C26	122.537345	0.350667		2.250933	1.407655	1.424817	1.478265	1.496288	化学原料及化学制品制造业
000523	2018-12-31	C26	74.920376	0.207008		1.309658	1.070707	1.07924	1.082954	1.091585	化学原料及化学制品制造业
000523	2019-12-31	C26	74.552795	0.375077		2.441863	1.308475	1.319148	1.308764	1.319439	化学原料及化学制品制造业
000523	2020-12-31	C26		0.764622			2.905696	2.96177	2.906757	2.962852	化学原料及化学制品制造业
000525	2016-12-31	C26	78.751214	2.827102	37.571396	2.063013	1.426212	1.587021	1.488246	1.656049	化学原料及化学制品制造业
000525	2017-12-31	C26	16.582795	2.354997	22.775372	2.118764	1.44088	1.579459	1.505049	1.649799	化学原料及化学制品制造业
000525	2018-12-31	C26	12.787768	1.379125	21.576687	1.706496	1.219526	1.337532	1.251477	1.372575	化学原料及化学制品制造业
000525	2019-12-31	C26		1.223354	3.854614	1.244544	1.079712	1.185611	1.080596	1.186582	化学原料及化学制品制造业
000525	2020-12-31	C26		0.873615	15.195039	0.855215	0.94902	1.059625	0.948465	1.059005	化学原料及化学制品制造业
000528	2016-12-31	C35	172.915464	1.174169	5.968368	0.929711	0.969793	1.00301	0.969789	1.003006	专用设备制造业
000528	2017-12-31	C35	29.785313	0.852107	10.075877	1.052792	1.02222	1.05505	1.022223	1.055053	专用设备制造业
